statVar,statVarName,place,placeName,date,value
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101230,Dothan City School District,2017,29.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102640,Ozark City School District,2017,25.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102940,Scottsboro City School District,2017,27.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100270,Baldwin County School District,2017,14.2
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100390,Birmingham City School District,2017,40.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101720,Haleyville City School District,2017,29.4
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103270,Tarrant City School District,2017,47.3
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102430,Montgomery County School District,2017,32.2
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101890,Jasper City School District,2017,25.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103030,Shelby County School District,2017,7.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100013,Trussville City School District,2017,7.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100780,Cleburne County School District,2017,23.9
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101050,Dale County School District,2017,22.9
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101730,Hartselle City School District,2017,10.3
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103510,Wilcox County School District,2017,41.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100840,Colbert County School District,2017,23.1
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101260,Elba City School District,2017,24.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101530,Florence City School District,2017,24.2
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102040,Lawrence County School District,2017,17.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100195,Pike Road City School District,2017,4.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100990,Cullman City School District,2017,17.3
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102520,Muscle Shoals City School District,2017,9.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103420,Tuscumbia City School District,2017,14.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103540,Winfield City School District,2017,8.2
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102760,Piedmont City School District,2017,29.7
