DCID,Field,URL,Status_Code,Message,Is_404
dc/base/CensusACS5YearSurvey_SubjectTables_S1702,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1810,prov_url,https://data.census.gov/table/ACSST5Y2024.S1810?q=S1810,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1810,sourceDataUrl,https://data.census.gov/table/ACSST5Y2024.S1810?q=S1810,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1810,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1810,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1901,prov_url,https://data.census.gov/cedsci/table?q=S1901&tid=ACSST5Y2024.S1901,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1901,sourceDataUrl,"https://data.census.gov/table?q=S1901&g=010XX00US,$0400000,$0500000,$0600000,$1400000,$1600000,$3100000,$31000M1,$31000M2,$5000000,$8600000,$9500000,$9600000,$9700000",403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1901,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1901,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1903,prov_url,https://data.census.gov/cedsci/table?q=S1903&tid=ACSST5Y2023.S1903,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1903,sourceDataUrl,https://data.census.gov/table?q=S1903,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1903,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S1903,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2001,prov_url,https://data.census.gov/cedsci/table?q=S2001&tid=ACSST1Y2023.S2001,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2001,sourceDataUrl,https://data.census.gov/table?q=S2001,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2001,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2001,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2201,prov_url,https://data.census.gov/table/ACSST5Y2023.S2201?q=S2201,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2201,sourceDataUrl,https://data.census.gov/table/ACSST5Y2023.S2201?q=S2201,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2201,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2201,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2303,prov_url,https://data.census.gov/cedsci/table?q=S2303&tid=ACSST5Y2023.S2303,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2303,sourceDataUrl,https://data.census.gov/table/ACSST5Y2023.S2303?q=S2303,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2303,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2303,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2405,prov_url,https://data.census.gov/cedsci/table?q=S2405&tid=ACSST5Y2023.S2405,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2405,sourceDataUrl,https://data.census.gov/cedsci/table?q=S2405&tid=ACSST5Y2023.S2405,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2405,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2405,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2406,prov_url,https://data.census.gov/cedsci/table?q=S2406&tid=ACSST5Y2023.S2406,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2406,sourceDataUrl,https://data.census.gov/table?q=S2406,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2406,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2406,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2407,prov_url,https://data.census.gov/cedsci/table?q=S2407&tid=ACSST5Y2023.S2407,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2407,sourceDataUrl,https://data.census.gov/table?q=S2407,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2407,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2407,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408,prov_url,https://data.census.gov/cedsci/table?q=S2408&tid=ACSST5Y2023.S2408,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408,sourceDataUrl,https://data.census.gov/cedsci/table?q=S2408&tid=ACSST5Y2023.S2408,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408_StatVarAgg,prov_url,https://data.census.gov/cedsci/table?q=S2408&tid=ACSST5Y2023.S2408,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408_StatVarAgg,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2408_StatVarAgg,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2409,prov_url,https://data.census.gov/cedsci/table?q=S2409&tid=ACSST1Y2023.S2409,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2409,sourceDataUrl,https://data.census.gov/cedsci/table?q=S2409&tid=ACSST1Y2023.S2409,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2409,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2409,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2418,prov_url,https://data.census.gov/cedsci/table?q=S2418&tid=ACSST5Y2024.S2418,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2418,sourceDataUrl,https://data.census.gov/table?q=S2418,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2418,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2418,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2502,prov_url,https://data.census.gov/cedsci/table?q=S2502&tid=ACSST5Y2023.S2502,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2502,sourceDataUrl,https://data.census.gov/table/ACSST5Y2023.S2502?q=S2502,403,HTTP Error 403,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2502,dataset.url,https://www.census.gov/programs-surveys/acs,200,OK,No
dc/base/CensusACS5YearSurvey_SubjectTables_S2502,dataset.source.url,https://www.census.gov/,200,OK,No
